"Source:","C:\GitHubProjects\PGKB\PCB\Rev 02.00\000018 PGKB\000018 PGKB.kicad_sch"
"Date:","24/01/2024 22.51.38"
"Tool:","Eeschema 7.0.6"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","147"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Code","DNP","MFG_PartNo","Manufacturer","Price","Sim.Enable","Supplier","Supplier_PartNo","Value"
"","","C1","10u","KD_Capacitor:C_1206_10u_X5R_50V_automotive","KD_Capacitor:CAPC3216X150N","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRT31CR61H106ME01-01.pdf","10u","F","GRT31CR61H106ME01L","Murata Electronics","0.30","","Digi-Key","490-12457-1-ND","10u"
"","","C2","100n","KD_Capacitor:C_0603_100n_X7R_50V","KD_Capacitor:CAPC1608X90N","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL10B104KB8NNWC_Spec.pdf","","F","CL10B104KB8NNWC","Samsung","0.01","","Digi-Key","1276-1935-1-ND","100n"
"","","C3","10n","KD_Capacitor:C_0603_10n_X7R_100V","KD_Capacitor:CAPC1608X90N","datasheet","10n","F","C1608X7R2A103K080AA","TDK Corporation","0.05","","Digi-Key","445-1304-1-ND","10n"
"","","C4","10n","KD_Capacitor:C_0603_10n_X7R_100V","KD_Capacitor:CAPC1608X90N","datasheet","10n","F","C1608X7R2A103K080AA","TDK Corporation","0.05","","Digi-Key","445-1304-1-ND","10n"
"","","C5","10n","KD_Capacitor:C_0603_10n_X7R_100V","KD_Capacitor:CAPC1608X90N","datasheet","10n","F","C1608X7R2A103K080AA","TDK Corporation","0.05","","Digi-Key","445-1304-1-ND","10n"
"","","C6","10n","KD_Capacitor:C_0603_10n_X7R_100V","KD_Capacitor:CAPC1608X90N","datasheet","10n","F","C1608X7R2A103K080AA","TDK Corporation","0.05","","Digi-Key","445-1304-1-ND","10n"
"","","C7","10n","KD_Capacitor:C_0603_10n_X7R_100V","KD_Capacitor:CAPC1608X90N","datasheet","10n","F","C1608X7R2A103K080AA","TDK Corporation","0.05","","Digi-Key","445-1304-1-ND","10n"
"","","C8","10n","KD_Capacitor:C_0603_10n_X7R_100V","KD_Capacitor:CAPC1608X90N","datasheet","10n","F","C1608X7R2A103K080AA","TDK Corporation","0.05","","Digi-Key","445-1304-1-ND","10n"
"","","C9","10n","KD_Capacitor:C_0603_10n_X7R_100V","KD_Capacitor:CAPC1608X90N","datasheet","10n","F","C1608X7R2A103K080AA","TDK Corporation","0.05","","Digi-Key","445-1304-1-ND","10n"
"","","C10","10n","KD_Capacitor:C_0603_10n_X7R_100V","KD_Capacitor:CAPC1608X90N","datasheet","10n","F","C1608X7R2A103K080AA","TDK Corporation","0.05","","Digi-Key","445-1304-1-ND","10n"
