Qty,Reference(s),Value,DNP,MFG_PartNo,Manufacturer,Price,Supplier,Supplier_PartNo,Value
1,C1,10u,F,GRT31CR61H106ME01L,Murata Electronics,0.3,Digi-Key,490-12457-1-ND,10u
19,"C2, C14, C15, C16, C17, C18, C19, C22, C24, C26, C29, C31, C32, C33, C34, C35, C36, C38, C40",100n,F,CL10B104KB8NNWC,Samsung,0.01,Digi-Key,1276-1935-1-ND,100n
12,"C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C41",10n,F,C1608X7R2A103K080AA,TDK Corporation,0.05,Digi-Key,445-1304-1-ND,10n
6,"C20, C21, C23, C25, C28, C39",1u,F,CL21B105KAFNNNE,Samsung Electro-Mechanics,0.03,Digi-Key,1276-1066-1-ND,1u
2,"C27, C30",27p,F,0603N270J500CT,Walsin Technology Corporation,0.05,Digi-Key,1292-1511-1-ND,27p
1,C37,10u,F,CL31B106MOHNNNE,Samsung Electro-Mechanics,0.1,Digi-Key,1276-6641-1-ND,10u
11,"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D14",Neopixel Reverse,F,4960,Adafruit Industries LLC,0.28,Digi-Key,1528-4960-ND,Neopixel Reverse
1,D11,TVS_5V5_DRTR5V0U4S-7-M,F,DRTR5V0U4S-7,Diodes Incorporated,0.3,Digi-Key,DRTR5V0U4S-7DICT-ND,TVS_5V5_DRTR5V0U4S-7-M
1,D12,Schottky_30V_1A_PMEG3010ER_115,F,"PMEG3010ER,115",Nexperia USA Inc.,0.3,Digi-Key,1727-5201-1-ND,Schottky_30V_1A_PMEG3010ER_115
1,D13,Schottky_30V_200mA_DCo_BAT54WS,F,BAT54WS,DComponents,0.05,Digi-Key,2721-BAT54WSTR-ND,Schottky_30V_200mA_DCo_BAT54WS
1,D15,Red,F,B1911USD-20D000114U1930,Harvatek Corporation,0.1,Digi-Key,3147-B1911USD-20D000114U1930CT-ND,Red
1,D16,Green,F,B1911NG--20D000214U1930,Harvatek Corporation,0.1,Digi-Key,3147-B1911NG--20D000214U1930CT-ND,Green
